Name	Type	ALIGNMENT	Size	CR	AC	HP	Spellcasting?	Attack 1 damage	Attack 2 Damage	Arctic	Coast	Desert	Forest	Grassland	Hill	Mountain	Swamp	Underdark	Underwater	Urban
Aarakocra	Humanoid	NG	Medium	0.25	12	13	NO	1d4+2	1d6+2	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO
Aboleth	Aberration	LE	Large	10	17	135	NO	2d6+5	3d6+5	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Abominable Yeti	Monstrosity	CE	Huge	9	15	137	NO	4d6+7	6d6	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Acolyte	Humanoid	ANY	Medium	0.25	10	9	YES	1d4	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
Air Elemental	Elemental	N	Large	5	15	90	NO	2d8+5	3d8+2	NO	NO	YES	NO	NO	NO	YES	NO	NO	NO	NO
Allosaurus	Beast	U	Large	2	13	51	NO	2d10+4	1d8+4	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
Androsphinx	Monstrosity	LN	Large	17	17	199	YES	2d10+6	N/A	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO
Animated Armor	Construct	U	Medium	1	18	33	NO	1d6+2	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Ankheg	Monstrosity	U	Large	2	14	39	NO	3d6+3	3d6	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
Ankylosaurus	Beast	U	Huge	3	15	68	NO	4d6+4	N/A	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
Ape	Beast	U	Medium	0.5	12	19	NO	1d6+3	1d6+3	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Arcanaloth	Fiend	NE	Medium	12	17	104	YES	2d4+3	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Archmage	Humanoid	ANY	Medium	12	12	99	YES	1d4+2	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Assassin	Humanoid	NOT GOOD	Medium	8	15	78	NO	1d6+3	1d8+3	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
Awakened Shrub	Plant	U	Small	0	9	10	NO	1d4-1	N/A	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Awakened Tree	Plant	U	Huge	2	13	59	NO	3d6+4	N/A	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Axe Beak	Beast	U	Large	0.25	11	19	NO	1d8+2	N/A	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO
Azer	Elemental	LN	Medium	2	17	39	NO	1d8+3	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Baboon	Beast	U	Small	0	12	3	NO	1d4-1	N/A	NO	NO	NO	YES	NO	YES	NO	NO	NO	NO	NO
Badger	Beast	U	Tiny	0	10	3	NO	1	N/A	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Balor	Fiend (Demon)	CE	Huge	19	19	262	NO	3d8+8	2d6+8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Bandit	Humanoid	NOT LAWFUL	Medium	0.13	12	11	NO	1d6+1	1d8+1	YES	YES	YES	YES	NO	YES	NO	NO	NO	NO	YES
Bandit Captain	Humanoid	NOT LAWFUL	Medium	2	15	65	NO	1d6+3	1d4+3	YES	YES	YES	YES	NO	YES	NO	NO	NO	NO	YES
Banshee	Undead	CE	Medium	4	12	58	NO	3d6+2	N/A	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
Barbed Devil	Fiend (Devil)	LE	Medium	5	15	110	NO	1d6+3	2d6+3	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Barlgura	Fiend (Demon)	CE	Large	5	15	68	YES	2d6+4	1d10+4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Basilisk	Monstrosity	U	Medium	3	15	52	NO	4d6+3	N/A	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO
Bat	Beast	U	Tiny	0	12	1	NO	1	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Bearded Devil	Fiend (Devil)	LE	Medium	3	13	52	NO	1d8+2	1d10+3	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Behir	Monstrosity	NE	Huge	11	17	168	NO	3d10+6	4d10+12	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Beholder	Aberration	LE	Large	13	18	180	NO	4d6	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Beholder Zombie	Undead	NE	Large	5	15	93	NO	4d6	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Berserker	Humanoid	C	Medium	2	13	67	NO	1d12+3	N/A	YES	YES	YES	YES	NO	YES	YES	NO	NO	NO	NO
Black Bear	Beast	U	Medium	0.5	11	19	NO	1d6+2	2d4+2	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
